n_raj;nome_raj;cidades;cj;juiz_diretor
1;Grande São Paulo;Arujá - 44ª CJ;;
1;Grande São Paulo;Barueri - 4ª CJ;;
1;Grande São Paulo;Carapicuiba - 4ª CJ;;
1;Grande São Paulo;Cotia - 52ª CJ;;
1;Grande São Paulo;Diadema - 2ª CJ;;
1;Grande São Paulo;Embu das Artes - 52ª CJ;;
1;Grande São Paulo;Embu-Guaçu - 52ª CJ;;
1;Grande São Paulo;Ferraz de Vasconcelos - 45ª CJ;;
1;Grande São Paulo;Guararema - 45ª CJ;;
1;Grande São Paulo;Guarulhos - 44ª CJ;;
1;Grande São Paulo;Itapecerica da Serra - 52ª CJ;;
1;Grande São Paulo;Itapevi - 52ª CJ;;
1;Grande São Paulo;Itaquaquecetuba - 45ª CJ;;
1;Grande São Paulo;Jandira - 4ª CJ;;
1;Grande São Paulo;Mairiporã - 44ª CJ;;
1;Grande São Paulo;Mauá - 3ª CJ;;
1;Grande São Paulo;Mogi das Cruzes - 45ª CJ;;
1;Grande São Paulo;Osasco - 4ª CJ;;
1;Grande São Paulo;Poá - 45ª CJ;;
1;Grande São Paulo;Ribeirão Pires - 3ª CJ;;
1;Grande São Paulo;Rio Grande de Serra - 3ª CJ;;
1;Grande São Paulo;Santa Isabel - 44ª CJ;;
1;Grande São Paulo;Santana do Parnaíba - 4ª CJ;;
1;Grande São Paulo;Santo André - 3ª CJ;;
1;Grande São Paulo;São Bernardo do Campo - 2ª CJ;;
1;Grande São Paulo;São Caetano do Sul - 3ª CJ;;
1;Grande São Paulo;São Paulo - Capital;;
1;Grande São Paulo;Suzano - 45ª CJ;;
1;Grande São Paulo;Taboão da Serra - 52ª CJ;;
1;Grande São Paulo;Vargem Grande Paulista - 52ª CJ;;
2;Araçatuba;Andradina - 37ª CJ;;
2;Araçatuba;Araçatuba - 36ª CJ;;
2;Araçatuba;Auriflama - 55ª CJ;;
2;Araçatuba;Bilac - 36ª CJ;;
2;Araçatuba;Birigui - 36ª CJ;;
2;Araçatuba;Buritama - 36ª CJ;;
2;Araçatuba;Cafelândia - 35ª CJ;;
2;Araçatuba;Getulina - 35ª CJ;;
2;Araçatuba;Guararapes - 36ª CJ;;
2;Araçatuba;Ilha Solteira - 37ª CJ;;
2;Araçatuba;Jales - 55ª CJ;;
2;Araçatuba;Lins - 35ª CJ;;
2;Araçatuba;Mirandópolis - 37ª CJ;;
2;Araçatuba;Palmeira D’Oeste - 55ª CJ;;
2;Araçatuba;Penápolis - 36ª CJ;;
2;Araçatuba;Pereira Barreto - 37ª CJ;;
2;Araçatuba;Promissão - 35ª CJ;;
2;Araçatuba;Santa Fé do Sul - 55ª CJ;;
2;Araçatuba;Urânia - 55ª CJ;;
2;Araçatuba;Valparaíso - 36ª CJ;;
3;Bauru;Agudos - 32ª CJ;;
3;Bauru;Avaré - 24ª CJ;;
3;Bauru;Bariri - 33ª CJ;;
3;Bauru;Barra Bonita - 33ª CJ;;
3;Bauru;Bauru - 32ª CJ;;
3;Bauru;Botucatu - 23ª CJ;;
3;Bauru;Cerqueira Cesar - 24ª CJ;;
3;Bauru;Chavantes - 25ª CJ;;
3;Bauru;Conchas - 23ª CJ;;
3;Bauru;Dois Córregos - 33ª CJ;;
3;Bauru;Duartina - 32ª CJ;;
3;Bauru;Fartura - 24ª CJ;;
3;Bauru;Ipaussu - 25ª CJ;;
3;Bauru;Itaí - 24ª CJ;;
3;Bauru;Itatinga - 23ª CJ;;
3;Bauru;Jaú - 33ª CJ;;
3;Bauru;Lençóis Paulista - 32ª CJ;;
3;Bauru;Macatuba - 33ª CJ;;
3;Bauru;Ourinhos - 25ª CJ;;
3;Bauru;Paranapanema - 24ª CJ;;
3;Bauru;Pederneiras - 33ª CJ;;
3;Bauru;Piraju - 25ª CJ;;
3;Bauru;Pirajuí - 32ª CJ;;
3;Bauru;Piratininga - 32ª CJ;;
3;Bauru;Santa Cruz do Rio Pardo - 25ª CJ;;
3;Bauru;São Manuel - 23ª CJ;;
3;Bauru;Taquarituba - 24ª CJ;;
4;Campinas;Aguaí - 50ª CJ;;
4;Campinas;Águas de Lindóia - 54ª CJ;;
4;Campinas;Americana - 53ª CJ;;
4;Campinas;Amparo - 54ª CJ;;
4;Campinas;Araras - 10ª CJ;;
4;Campinas;Artur Nogueira - 7ª CJ;;
4;Campinas;Atibaia - 6ª CJ;;
4;Campinas;Bragança Paulista - 6ª CJ;;
4;Campinas;Brotas - 9ª CJ;;
4;Campinas;Caieiras - 5ª CJ;;
4;Campinas;Cajamar - 5ª CJ;;
4;Campinas;Campinas - 8ª CJ;;
4;Campinas;Campo Limpo Paulista - 5ª CJ;;
4;Campinas;Capivari - 34ª CJ;;
4;Campinas;Cerquilho - 34ª CJ;;
4;Campinas;Conchal - 7ª CJ;;
4;Campinas;Cordeirópolis - 10ª CJ;;
4;Campinas;Cosmópolis - 8ª CJ;;
4;Campinas;Espírito Santo do Pinhal - 50ª CJ;;
4;Campinas;Francisco Morato - 5ª CJ;;
4;Campinas;Franco da Rocha - 5ª CJ;;
4;Campinas;Hortolândia - 53ª CJ;;
4;Campinas;Itapira - 7ª CJ;;
4;Campinas;Itatiba - 5ª CJ;;
4;Campinas;Itirapina - 9ª CJ;;
4;Campinas;Itupeva - 5ª CJ;;
4;Campinas;Jaguariúna - 54ª CJ;;
4;Campinas;Jarinu - 6ª CJ;;
4;Campinas;Jundiaí - 5ª CJ;;
4;Campinas;Laranjal Paulista - 34ª CJ;;
4;Campinas;Leme - 11ª CJ;;
4;Campinas;Limeira - 10ª CJ;;
4;Campinas;Louveira - 5ª CJ;;
4;Campinas;Mogi Guaçu - 7ª CJ;;
4;Campinas;Mogi Mirim - 7ª CJ;;
4;Campinas;Monte Mor - 34ª CJ;;
4;Campinas;Nazaré Paulista - 6ª CJ;;
4;Campinas;Nova Odessa - 53ª CJ;;
4;Campinas;Paulínia - 8ª CJ;;
4;Campinas;Pedreira - 54ª CJ;;
4;Campinas;Pinhalzinho - 6ª CJ;;
4;Campinas;Piracaia - 6ª CJ;;
4;Campinas;Piracicaba - 34ª CJ;;
4;Campinas;Pirassununga - 11ª CJ;;
4;Campinas;Porto Ferreira - 11ª CJ;;
4;Campinas;Rio Claro - 9ª CJ;;
4;Campinas;Rio das Pedras - 34ª CJ;;
4;Campinas;Santa Bárbara D’Oeste - 53ª CJ;;
