id_municipio_ibge;nome_municipio;populacao_municipio;id_foro;nome_foro;total_varas_foro;entrancia;endereco_sede;latitude;longitude;id_cj;nome_cj;id_raj;nome_raj;populacao_foro;qt_cidades_foro;cidades_no_foro;qt_cidades_cj;cidades_na_cj;unidades;total_varas_municipio;varas_municipio;varas_foro
3500105;Adamantina;34687;3500105;Adamantina;5;Entrância Inicial;Avenida Ademar de Barros , 133 - Centro, 17800-000;-21.576695151888305;-51.056812445653414;30;30ª Tupã;5;5ª Presidente Prudente;38200;2;Adamantina, Mariápolis;17;Adamantina, Arco-Íris, Bastos, Flórida Paulista, Herculândia, Iacri, Inúbia Paulista, Lucélia, Mariápolis, Osvaldo Cruz, Parapuã, Pracinha, Queiroz, Rinópolis, Sagres, Salmourão, Tupã;Fórum I Adamantina, Fórum II Adamantina (Residência Oficial), Fórum III Adamantina - UAAJ - FAC. ADAM. INTEGRADAS;5;1ª Vara Judicial, 2ª Vara Judicial, 3ª Vara Judicial, Criminal e da Fazenda Pública de Adamantina, Juizado Especial Cível;1ª Vara Judicial, 2ª Vara Judicial, 3ª Vara Judicial, Criminal e da Fazenda Pública de Adamantina, Juizado Especial Cível
3500204;Adolfo;4351;3525706;José Bonifácio;0;Entrância Inicial;Av. Campos  Sales, , 341 - centro, 15200-000;-21.08936590148044;-49.77931545827638;16;16ª São José do Rio Preto;8;8ª São José do Rio Preto;52508;4;Adolfo, José Bonifácio, Mendonça, Ubarana;33;Adolfo, Américo de Campos, Bady Bassitt, Bálsamo, Cedral, Cosmorama, Guapiaçu, Icém, Ipiguá, Jaci, José Bonifácio, Macaubal, Mendonça, Mirassol, Mirassolândia, Monte Aprazível, Neves Paulista, Nipoã, Nova Aliança, Nova Granada, Onda Verde, Orindiúva, Palestina, Paulo de Faria, Poloni, Potirendaba, Riolândia, Sebastianópolis do Sul, São José do Rio Preto, Tanabi, Ubarana, Uchoa, União Paulista;;0;;
3500303;Aguaí;32072;3500303;Aguaí;2;Entrância Inicial;Rua Joaquim Paula Cruz , 900 - Jd. Sta. Úrsula, 13863-044;-22.049949649172998;-47.04032891318444;50;50ª São João da Boa Vista;4;4ª Campinas;32072;1;Aguaí;6;Aguaí, Espírito Santo do Pinhal, Santo Antônio do Jardim, São João da Boa Vista, Vargem Grande do Sul, Águas da Prata;Comarca  de Aguaí;2;Juizado Especial Cível, Vara Judicial;Juizado Especial Cível, Vara Judicial
3500402;Águas da Prata;7369;3549102;São João da Boa Vista;6;Entrância Final;Rua RIACHUELO , 571 - Centro, 13870234;-21.97799265338561;-46.80219487056586;50;50ª São João da Boa Vista;4;4ª Campinas;99916;2;São João da Boa Vista, Águas da Prata;6;Aguaí, Espírito Santo do Pinhal, Santo Antônio do Jardim, São João da Boa Vista, Vargem Grande do Sul, Águas da Prata;;0;;1ª Vara Cível, 2ª Vara Cível, 3ª Vara Cível, Ofício do Juizado Especial Cível e Criminal, Vara Criminal, Vara do Juizado Especial Cível e Criminal
3500501;Águas de Lindóia;17930;3500501;Águas de Lindóia;1;Entrância Inicial;Rua Francisco Spartani , 66 - Jd. Le Villete, 13940-000;-22.474824935145158;-46.6036501530808;54;54ª Amparo;4;4ª Campinas;24944;2;Lindóia, Águas de Lindóia;9;Amparo, Jaguariúna, Lindóia, Monte Alegre do Sul, Pedreira, Santo Antônio de Posse, Serra Negra, Socorro, Águas de Lindóia;Fórum Águas de Lindóia, Fórum Águas de Lindóia (J.E.CÍVEL e Criminal);1;Vara Judicial;Vara Judicial
3500550;Águas de Santa Bárbara;7177;3511409;Cerqueira César;4;Entrância Inicial;Rua Olimpio Pavan , 355 - Centro, 18760015;-23.059321610192633;-49.14380676556663;24;24ª Avaré;3;3ª Bauru;36656;3;Cerqueira César, Iaras, Águas de Santa Bárbara;11;Arandu, Avaré, Cerqueira César, Coronel Macedo, Fartura, Iaras, Itaí, Paranapanema, Taguaí, Taquarituba, Águas de Santa Bárbara;;0;;1ª Vara Judicial, 2ª Vara Judicial, Criminal e da Fazenda Pública de Cerqueira César, Juizado Especial Cível
3500600;Águas de São Pedro;2780;3550407;São Pedro;3;Entrância Inicial;Praça Adolpho Bonifácio Bragaia , s/nº - Centro, 13520-028;-22.558175497889824;-47.92468304968156;34;34ª Piracicaba;4;4ª Campinas;46279;3;Santa Maria da Serra, São Pedro, Águas de São Pedro;16;Capivari, Cerquilho, Charqueada, Elias Fausto, Jumirim, Laranjal Paulista, Mombuca, Monte Mor, Piracicaba, Rafard, Rio das Pedras, Saltinho, Santa Maria da Serra, São Pedro, Tietê, Águas de São Pedro;;0;;1ª Vara Judicial, 2ª Vara Judicial, Juizado Especial Cível e Criminal
3500709;Agudos;37680;3500709;Agudos;2;Entrância Inicial;Rua Paulo Nelli , 276 - Vila Andreotti, 17120-370;-22.57192491692267;-49.10874517574034;32;32ª Bauru;3;3ª Bauru;39770;2;Agudos, Paulistânia;18;Agudos, Arealva, Avaí, Balbinos, Bauru, Borebi, Cabrália Paulista, Duartina, Lençóis Paulista, Lucianópolis, Paulistânia, Pirajuí, Piratininga, Pongaí, Presidente Alves, Reginópolis, Ubirajara, Uru;"FÓRUM DESEMBARGADOR ""FRANCISCO MEIRELLES DOS SANTOS"", Fórum Agudos (CEJUSC)";2;1ª Vara Judicial, Juizado Especial Cível;1ª Vara Judicial, Juizado Especial Cível
3500758;Alambari;6141;3522307;Itapetininga;7;Entrância Final;Praça Três Poderes , s/n - Jd. Marabá, 18213-540;-23.645468563011217;-48.123318703177574;22;22ª Itapetininga;10;10ª Sorocaba;174300;3;Alambari, Itapetininga, Sarapuí;17;Alambari, Angatuba, Bofete, Campina do Monte Alegre, Capela do Alto, Capão Bonito, Cesário Lange, Guapiara, Guareí, Itapetininga, Porangaba, Quadra, Ribeirão Grande, Sarapuí, São Miguel Arcanjo, Tatuí, Torre de Pedra;;0;;1ª Vara Cível, 1ª Vara da Família e das Sucessões, 2ª Vara Cível, 3ª Vara Cível, 4ª Vara Cível, Juizado Especial Cível, Vara do Juizado especial Cível e Criminal
3500808;Alfredo Marcondes;4445;3541406;Presidente Prudente;17;Entrância Final;Avenida Coronel José Soares Marcondes , 2201 - Vila Comercial, 19013-050;-21.99318224082918;-51.34313661870564;27;27ª Presidente Prudente;5;5ª Presidente Prudente;264391;5;Alfredo Marcondes, Anhumas, Presidente Prudente, Santo Expedito, Álvares Machado;20;Alfredo Marcondes, Anhumas, Caiabu, Emilianópolis, Estrela do Norte, Iepê, Indiana, Martinópolis, Nantes, Narandiba, Pirapozinho, Presidente Bernardes, Presidente Prudente, Rancharia, Regente Feijó, Sandovalina, Santo Expedito, Taciba, Tarabai, Álvares Machado;;0;;1ª Vara Criminal, 1ª Vara Cível, 1ª Vara da Família e das Sucessões, 1ª Vara das Execuções Criminais, 2ª Vara Criminal, 2ª Vara Cível, 2ª Vara da Família e das Sucessões, 2ª Vara das Execuçõs Criminais, 3ª Vara Criminal, 3ª Vara Cível, 4ª Vara Cível, 5ª Vara Cível, Juizado Especial Cível, Ofício do Juizado Especial Cível, Vara da Fazenda Pública, Vara do Juizado Especial Cível, Vara do Júri e da Infância e da Juventude
3500907;Altair;3451;3533908;Olímpia;4;Entrância Intermediária;Rua Engenheiro Reid , 377 - Patrimônio de São João Batista, 15400-091;-20.70524588579201;-48.959617264381016;14;14ª Barretos;8;8ª São José do Rio Preto;94907;6;Altair, Cajobi, Embaúba, Guaraci, Olímpia, Severínia;16;Altair, Barretos, Bebedouro, Cajobi, Colina, Colômbia, Embaúba, Guaraci, Guaíra, Jaborandi, Monte Azul Paulista, Olímpia, Paraíso, Severínia, Terra Roxa, Viradouro;;0;;1ª Vara Cível, 2ª Vara Cível, 3ª Vara Cível, Vara Criminal
